dataset,model,use_graph,use_attention,test_loss,test_metrics,model_name_suffix
bace,no_graph_no_attention,False,False,1.0055422157049179,"{'auc': 0.8418093983311374, 'accuracy': 0.735973597359736, 'precision': 0.8452380952380952, 'recall': 0.5144927536231884, 'f1': 0.6396396396396397}",no_graph_no_attention
bace,no_graph_with_attention,False,True,0.7524956136941909,"{'auc': 0.8533596837944663, 'accuracy': 0.7557755775577558, 'precision': 0.7909090909090909, 'recall': 0.6304347826086957, 'f1': 0.7016129032258065}",no_graph_with_attention
bace,with_graph_no_attention,True,False,0.6448895573616028,"{'auc': 0.8701800614844093, 'accuracy': 0.8052805280528053, 'precision': 0.8062015503875969, 'recall': 0.7536231884057971, 'f1': 0.7790262172284644}",with_graph_no_attention
bace,with_graph_with_attention,True,True,0.895130068063736,"{'auc': 0.828765920070268, 'accuracy': 0.7260726072607261, 'precision': 0.6502732240437158, 'recall': 0.8623188405797102, 'f1': 0.7414330218068536}",with_graph_with_attention
BBBP,no_graph_no_attention,False,False,0.5428523149054784,"{'auc': 0.9272168803418803, 'accuracy': 0.8799019607843137, 'precision': 0.8683473389355743, 'recall': 0.9935897435897436, 'f1': 0.9267563527653214}",no_graph_no_attention
BBBP,no_graph_with_attention,False,True,0.38156991394666523,"{'auc': 0.9293202457264957, 'accuracy': 0.9044117647058824, 'precision': 0.92, 'recall': 0.9583333333333334, 'f1': 0.9387755102040817}",no_graph_with_attention
BBBP,with_graph_no_attention,True,False,0.5703198593109846,"{'auc': 0.9276842948717948, 'accuracy': 0.875, 'precision': 0.8676056338028169, 'recall': 0.9871794871794872, 'f1': 0.9235382308845577}",with_graph_no_attention
BBBP,with_graph_with_attention,True,True,0.3258336793917876,"{'auc': 0.9233106303418803, 'accuracy': 0.8872549019607843, 'precision': 0.915625, 'recall': 0.9391025641025641, 'f1': 0.9272151898734177}",with_graph_with_attention
esol,no_graph_no_attention,False,False,0.5787076714914292,"{'mse': 0.65265137, 'mae': 0.600122, 'rmse': 0.8078684, 'mape': 40.8307820558548, 'r2': 0.8619254231452942, 'pearson_r': 0.9472953038717632}",no_graph_no_attention
esol,no_graph_with_attention,False,True,0.6970641724765301,"{'mse': 0.77692205, 'mae': 0.65439004, 'rmse': 0.8814318, 'mape': 42.46234893798828, 'r2': 0.835634782910347, 'pearson_r': 0.9379594285381684}",no_graph_with_attention
esol,with_graph_no_attention,True,False,0.7099839113652706,"{'mse': 0.7789046, 'mae': 0.6684469, 'rmse': 0.8825557, 'mape': 41.72919988632202, 'r2': 0.8352153599262238, 'pearson_r': 0.9441861782679088}",with_graph_no_attention
esol,with_graph_with_attention,True,True,0.40264017367735505,"{'mse': 0.44893733, 'mae': 0.49205023, 'rmse': 0.67002785, 'mape': 38.97321820259094, 'r2': 0.9050230532884598, 'pearson_r': 0.9532441238547398}",with_graph_with_attention
HIV,no_graph_no_attention,False,False,0.18234922261746211,"{'auc': 0.77255968607455, 'accuracy': 0.9679066374908826, 'precision': 0.6086956521739131, 'recall': 0.2422145328719723, 'f1': 0.34653465346534656}",no_graph_no_attention
HIV,no_graph_with_attention,False,True,0.1392868518208464,"{'auc': 0.7967979237882408, 'accuracy': 0.9692438609287625, 'precision': 0.608433734939759, 'recall': 0.3494809688581315, 'f1': 0.443956043956044}",no_graph_with_attention
HIV,with_graph_no_attention,True,False,0.18210308028966218,"{'auc': 0.7538151873338179, 'accuracy': 0.9663262825188427, 'precision': 0.54, 'recall': 0.28027681660899656, 'f1': 0.36902050113895213}",with_graph_no_attention
HIV,with_graph_with_attention,True,True,0.14618121847228774,"{'auc': 0.8026402120853975, 'accuracy': 0.9704595185995624, 'precision': 0.6419753086419753, 'recall': 0.35986159169550175, 'f1': 0.4611973392461198}",with_graph_with_attention
lipophilicity,no_graph_no_attention,False,False,1.152299134819596,"{'mse': 1.0795764, 'mae': 0.83693874, 'rmse': 1.0390266, 'mape': 82.47087597846985, 'r2': 0.2693096399307251, 'pearson_r': 0.744735551245321}",no_graph_no_attention
lipophilicity,no_graph_with_attention,False,True,0.7360929250717163,"{'mse': 0.68847775, 'mae': 0.63184494, 'rmse': 0.8297456, 'mape': 91.51040315628052, 'r2': 0.5340172052383423, 'pearson_r': 0.745191527973538}",no_graph_with_attention
lipophilicity,with_graph_no_attention,True,False,0.7871726309811627,"{'mse': 0.7385336, 'mae': 0.6704854, 'rmse': 0.85937977, 'mape': 80.55562376976013, 'r2': 0.5001378357410431, 'pearson_r': 0.7653925408104421}",with_graph_no_attention
lipophilicity,with_graph_with_attention,True,True,0.7583095486517306,"{'mse': 0.69474494, 'mae': 0.62479, 'rmse': 0.8335136, 'mape': 90.57149291038513, 'r2': 0.5297753512859344, 'pearson_r': 0.7364075722825032}",with_graph_with_attention
